TACEN,2010,2
LJ. CENTER,1520,4
STARA LJ.,1500,4
SP. ŠIŠKA,2018,5
SP. ŠIŠKA,2018,5
"LJ. ŠIŠKA, EKSKLUZIVNO PENTHAUS STANOVANJE Z VELIKO TERASO I...",2018,5
LJ. CENTER,1949,5
LJ. CENTER,1456,4
LJ. CENTER,1949,5
LJ. CENTER,1949,5
LJ. CENTER,1949,5
LJ. CENTER,1949,5
LJ. CENTER,1520,4
"LJ. CENTER, PENTHOUSE",2021,4
"LJ. CENTER, PENTHOUSE",2021,4
SP. ŠIŠKA,2018,5
LJ. BEŽIGRAD,2009,4
"LJ. ŠIŠKA, EKSKLUZIVNO PENTHAUS STANOVANJE Z VELIKO TERASO I...",2018,5
PRULE,2019,5
"STARA LJ., NOVO STANOVANJE V NOVEM STAROMEŠČANSKI STAVBI NA ...",2012,4
LJ. CENTER,1939,5
LJ. CENTER,1896,5
"LJ. CENTER, ZA AIRBNB 4 ZVEZDICE",1896,5
LJ. CENTER,1896,5
LJ. CENTER,1520,4
LJ. BEŽIGRAD,2019,4
LJ. CENTER,1929,5
LJ. BEŽIGRAD,2011,4
LJ. BEŽIGRAD,2011,4
PRULE,2019,3
LJ. CENTER,2020,3
ROŽNA DOLINA,2020,3
LJ. CENTER,1934,3
"LJ. CENTER, PEGLEZEN - JOZE PLECNIK",1934,3
LJ. CENTER,2020,3
ROŽNA DOLINA,2017,4
"ZUPANČIČEVA JAMA, EKSKLUZIVNO PENTHAUS STANOVANJE S TERASO",1997,4
ZUPANČIČEVA JAMA,1997,4
PRULE,2019,
TRNOVO,2017,5
LJ. CENTER,2020,3
LJ. CENTER,2020,4
PODUTIK,2018,5
LJ. CENTER,2020,3
"LJ. CENTER, JUŽNA LEGA, 2 PARKIRNI MESTI, TERASI",2021,4
LJ. CENTER,1906,5
LJ. CENTER,1907,5
"LJ. CENTER, MIKLOŠIČEVA",1907,5
LJ. CENTER,1906,5
LJ. CENTER,2005,2
TRNOVO,2016,5
LJ. BEŽIGRAD,2009,4
LJ. BEŽIGRAD,2009,4
"MURGLE, LJ.",2020,4
TRNOVO,2020,4
LJ. CENTER,2020,4
"MURGLE, NA VOLJO LE ŠE DVE PROSTI ENOTI",2020,5
LJ. VIČ,2020,3
MURGLE,2020,4
LJ. CENTER,1500,4
STARA LJ.,1500,4
LJ. CENTER,1500,4
"LJ. CENTER, MESTNI TRG",1500,4
"LJ. CENTER, NAZORJEVA, PRI HOTELU UNION",1905,3
LJ. CENTER,1985,3
"BRINJE, DUNAJSKA CESTA",2014,4
LJ. CENTER,1920,5
ZGORNJE GAMELJNE,2021,5
ROŽNA DOLINA,2021,4
LJ. BEŽIGRAD,2009,4
"LJ. CENTER, KOMENSKEGA ULICA",2005,3
DRAVLJE,2014,4
"LJ. BEŽIGRAD, EKSKLUZIVNO PETSOBNO STANOVANJE V SITULI",2012,5
LJ. CENTER,2005,3
BRINJE,2014,5
LJ. CENTER,2005,3
"LJ. CENTER, KOMENSKEGA ULICA",2005,3
KOLEZIJA,2021,4
"MURGLE, LJ.",2020,5
LJ. VIČ,2020,5
LJ. CENTER,2020,5
"MURGLE, NA VOLJO LE ŠE DVE PROSTI ENOTI",2020,5
LJ. VIČ,2020,4
MURGLE,2020,5
"LJ. BEŽIGRAD, MODERNO IN EKSKLUZIVNO PENTHAUS STANOVANJE",1997,
LJ. CENTER,1500,4
STARA LJ.,1500,4
LJ. CENTER,1500,4
"LJ. CENTER, MESTNI TRG",1500,4
"LJ. BEŽIGRAD, Z DELAVNICO",1970,5
